 EQUATION NUMBER
 ---------------------
     node   dof    eqn
    3         -6.135E-02  8.681E-02 -1.651E-01
    4         -7.387E-02  8.305E-02 -1.658E-01
 
 STRESS of ELEMENT :   30
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -4.066E-03  1.732E-01 -4.508E-02
    2         -8.454E-03  1.719E-01 -6.389E-02
    3         -2.019E-02  1.195E-01 -4.661E-02
    4         -2.458E-02  1.182E-01 -6.542E-02
 
 STRESS of ELEMENT :   31
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -4.087E-01 -1.328E-01 -9.538E-01
    2         -6.243E-01 -1.975E-01 -9.509E-01
    3         -4.062E-01 -1.246E-01 -1.029E+00
    4         -6.218E-01 -1.893E-01 -1.026E+00
 
 STRESS of ELEMENT :   32
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -3.863E-01 -8.307E-02 -9.508E-01
    2         -6.001E-01 -1.472E-01 -9.637E-01
    3         -3.973E-01 -1.199E-01 -1.026E+00
    4         -6.112E-01 -1.841E-01 -1.039E+00
 
 STRESS of ELEMENT :   33
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -3.591E-01 -1.555E-02 -9.088E-01
    2         -5.633E-01 -7.682E-02 -9.221E-01
    3         -3.705E-01 -5.345E-02 -9.803E-01
    4         -5.747E-01 -1.147E-01 -9.936E-01
 
 STRESS of ELEMENT :   34
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -3.166E-01  3.129E-02 -8.254E-01
    2         -4.957E-01 -2.244E-02 -8.314E-01
    3         -3.218E-01  1.402E-02 -8.881E-01
    4         -5.008E-01 -3.970E-02 -8.941E-01
 
 STRESS of ELEMENT :   35
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.592E-01  5.219E-02 -7.172E-01
    2         -4.003E-01  9.849E-03 -7.166E-01
    3         -2.587E-01  5.385E-02 -7.666E-01
    4         -3.998E-01  1.151E-02 -7.660E-01
 
 STRESS of ELEMENT :   36
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.961E-01  5.688E-02 -5.977E-01
    2         -3.004E-01  2.562E-02 -5.938E-01
    3         -1.928E-01  6.787E-02 -6.341E-01
    4         -2.971E-01  3.661E-02 -6.303E-01
 
 STRESS of ELEMENT :   37
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.353E-01  5.419E-02 -4.740E-01
    2         -2.071E-01  3.268E-02 -4.691E-01
    3         -1.312E-01  6.808E-02 -4.991E-01
    4         -2.029E-01  4.657E-02 -4.942E-01
 
 STRESS of ELEMENT :   38
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -8.017E-02  5.339E-02 -3.488E-01
    2         -1.247E-01  4.003E-02 -3.452E-01
    3         -7.710E-02  6.363E-02 -3.644E-01
    4         -1.216E-01  5.027E-02 -3.608E-01
 
 STRESS of ELEMENT :   39
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -3.235E-02  7.032E-02 -2.196E-01
    2         -5.630E-02  6.313E-02 -2.213E-01
    3         -3.379E-02  6.550E-02 -2.280E-01
    4         -5.775E-02  5.831E-02 -2.297E-01
 
 STRESS of ELEMENT :   40
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.243E-03  1.353E-01 -7.305E-02
    2         -1.043E-02  1.309E-01 -8.780E-02
    3         -8.395E-03  9.314E-02 -7.819E-02
    4         -2.307E-02  8.873E-02 -9.293E-02
 
 STRESS of ELEMENT :   41
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -7.063E-02 -2.620E-02 -9.698E-01
    2         -2.591E-01 -8.273E-02 -9.683E-01
    3         -6.942E-02 -2.217E-02 -1.036E+00
    4         -2.579E-01 -7.870E-02 -1.034E+00
 
 STRESS of ELEMENT :   42
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -6.514E-02 -1.278E-02 -9.718E-01
    2         -2.492E-01 -6.799E-02 -9.755E-01
    3         -6.830E-02 -2.333E-02 -1.036E+00
    4         -2.524E-01 -7.855E-02 -1.040E+00
 
 STRESS of ELEMENT :   43
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -5.783E-02  9.004E-03 -9.431E-01
    2         -2.396E-01 -4.551E-02 -9.476E-01
    3         -6.171E-02 -3.927E-03 -1.007E+00
    4         -2.434E-01 -5.844E-02 -1.011E+00
 
 STRESS of ELEMENT :   44
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -4.871E-02  2.522E-02 -8.726E-01
    2         -2.177E-01 -2.547E-02 -8.752E-01
    3         -5.093E-02  1.784E-02 -9.318E-01
    4         -2.199E-01 -3.285E-02 -9.344E-01
 
 STRESS of ELEMENT :   45
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -3.858E-02  3.190E-02 -7.696E-01
    2         -1.831E-01 -1.146E-02 -7.699E-01
    3         -3.886E-02  3.095E-02 -8.202E-01
    4         -1.834E-01 -1.241E-02 -8.205E-01
 
 STRESS of ELEMENT :   46
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.831E-02  3.137E-02 -6.485E-01
    2         -1.416E-01 -2.601E-03 -6.474E-01
    3         -2.736E-02  3.453E-02 -6.881E-01
    4         -1.406E-01  5.579E-04 -6.870E-01
 
 STRESS of ELEMENT :   47
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.872E-02  2.757E-02 -5.202E-01
    2         -9.976E-02  3.256E-03 -5.186E-01
    3         -1.736E-02  3.210E-02 -5.486E-01
    4         -9.840E-02  7.787E-03 -5.470E-01
 
 STRESS of ELEMENT :   48
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -9.790E-03  2.467E-02 -3.894E-01
    2         -6.140E-02  9.188E-03 -3.882E-01
    3         -8.810E-03  2.794E-02 -4.074E-01
    4         -6.042E-02  1.246E-02 -4.063E-01
 
 STRESS of ELEMENT :   49
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -8.562E-04  2.917E-02 -2.523E-01
    2         -2.970E-02  2.052E-02 -2.531E-01
    3         -1.558E-03  2.683E-02 -2.624E-01
    4         -3.040E-02  1.818E-02 -2.632E-01
 
 STRESS of ELEMENT :   50
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          9.084E-03  5.243E-02 -9.147E-02
    2         -1.087E-02  4.645E-02 -9.696E-02
    3          4.378E-03  3.675E-02 -9.846E-02
    4         -1.557E-02  3.076E-02 -1.039E-01
 
 STRESS of ELEMENT :   51
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.591E-01  8.273E-02 -9.683E-01
    2          7.063E-02  2.620E-02 -9.698E-01
    3          2.579E-01  7.870E-02 -1.034E+00
    4          6.942E-02  2.217E-02 -1.036E+00
 
 STRESS of ELEMENT :   52
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.492E-01  6.799E-02 -9.755E-01
    2          6.514E-02  1.278E-02 -9.718E-01
    3          2.524E-01  7.855E-02 -1.040E+00
    4          6.830E-02  2.333E-02 -1.036E+00
 
 STRESS of ELEMENT :   53
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.396E-01  4.551E-02 -9.476E-01
    2          5.783E-02 -9.004E-03 -9.431E-01
    3          2.434E-01  5.844E-02 -1.011E+00
    4          6.171E-02  3.927E-03 -1.007E+00
 
 STRESS of ELEMENT :   54
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.177E-01  2.547E-02 -8.752E-01
    2          4.871E-02 -2.522E-02 -8.726E-01
    3          2.199E-01  3.285E-02 -9.344E-01
    4          5.093E-02 -1.784E-02 -9.318E-01
 
 STRESS of ELEMENT :   55
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.831E-01  1.146E-02 -7.699E-01
    2          3.858E-02 -3.190E-02 -7.696E-01
    3          1.834E-01  1.241E-02 -8.205E-01
    4          3.886E-02 -3.095E-02 -8.202E-01
 
 STRESS of ELEMENT :   56
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.416E-01  2.601E-03 -6.474E-01
    2          2.831E-02 -3.137E-02 -6.485E-01
    3          1.406E-01 -5.579E-04 -6.870E-01
    4          2.736E-02 -3.453E-02 -6.881E-01
 
 STRESS of ELEMENT :   57
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          9.976E-02 -3.256E-03 -5.186E-01
    2          1.872E-02 -2.757E-02 -5.202E-01
    3          9.840E-02 -7.787E-03 -5.470E-01
    4          1.736E-02 -3.210E-02 -5.486E-01
 
 STRESS of ELEMENT :   58
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.140E-02 -9.188E-03 -3.882E-01
    2          9.790E-03 -2.467E-02 -3.894E-01
    3          6.042E-02 -1.246E-02 -4.063E-01
    4          8.810E-03 -2.794E-02 -4.074E-01
 
 STRESS of ELEMENT :   59
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.970E-02 -2.052E-02 -2.531E-01
    2          8.562E-04 -2.917E-02 -2.523E-01
    3          3.040E-02 -1.818E-02 -2.632E-01
    4          1.558E-03 -2.683E-02 -2.624E-01
 
 STRESS of ELEMENT :   60
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.087E-02 -4.645E-02 -9.696E-02
    2         -9.084E-03 -5.243E-02 -9.147E-02
    3          1.557E-02 -3.076E-02 -1.039E-01
    4         -4.378E-03 -3.675E-02 -9.846E-02
 
 STRESS of ELEMENT :   61
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.243E-01  1.975E-01 -9.509E-01
    2          4.087E-01  1.328E-01 -9.538E-01
    3          6.218E-01  1.893E-01 -1.026E+00
    4          4.062E-01  1.246E-01 -1.029E+00
 
 STRESS of ELEMENT :   62
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.001E-01  1.472E-01 -9.637E-01
    2          3.863E-01  8.307E-02 -9.508E-01
    3          6.112E-01  1.841E-01 -1.039E+00
    4          3.973E-01  1.199E-01 -1.026E+00
 
 STRESS of ELEMENT :   63
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          5.633E-01  7.682E-02 -9.221E-01
    2          3.591E-01  1.555E-02 -9.088E-01
    3          5.747E-01  1.147E-01 -9.936E-01
    4          3.705E-01  5.345E-02 -9.803E-01
 
 STRESS of ELEMENT :   64
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.957E-01  2.244E-02 -8.314E-01
    2          3.166E-01 -3.129E-02 -8.254E-01
    3          5.008E-01  3.970E-02 -8.941E-01
    4          3.218E-01 -1.402E-02 -8.881E-01
 
 STRESS of ELEMENT :   65
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.003E-01 -9.849E-03 -7.166E-01
    2          2.592E-01 -5.219E-02 -7.172E-01
    3          3.998E-01 -1.151E-02 -7.660E-01
    4          2.587E-01 -5.385E-02 -7.666E-01
 
 STRESS of ELEMENT :   66
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          3.004E-01 -2.562E-02 -5.938E-01
    2          1.961E-01 -5.688E-02 -5.977E-01
    3          2.971E-01 -3.661E-02 -6.303E-01
